supplier code,BI number,Raw material description SAP,Supplier/Other material name,supplier name
100000062,237646,Calcium sulfate ,RADDIPUR 25KG 5M2,CASEA GMBH
100000062,237646,RADDIPUR 25KG 5M2,RADDIPUR 25KG 5M2,CASEA GMBH
100000264,1004250,Etanodiol recuperado ,Etanodiol recuperado / Heavy glycols,SUBPRODUCTES MC SL
100000264,1004250,Etanodiol recuperado ,Etanodiol recuperado 1000KG 31HA1,SUBPRODUCTES MC SL
100000562,240485,NOVARES HA 30 200KG 1A1,NOVARES HA 30 200KG 1A1,DOLDER ESPANA DISTRIBUCI
100000562,240485,Novares HA 30 ,NOVARES HA 30 200KG 1A1,DOLDER ESPANA DISTRIBUCION DE PRODU
100000585,269110,SODIUM NAPHTHALENEFORMALDEHYDE SULFONATE CONDENSATE ,SODIUM NAPHTHALENESULFONATE PWD 10 %,MEGACHEM MIDDLE EAST FZE
100000585,269110,SODIUM NAPHTHALENESULFONATE PWD 10 %,FDN-A,MEGACHEM MIDDLE EAST FZE
100000684,307593,Titanium dioxide ,CRISTAL 121(Tiona 121),Eurl cmexplus
100000684,307593,CRISTAL 121(Tiona 121),CRISTAL 121(TITANIUM DIOXIDE),Eurl cmexplus
100000736,244404,Tetra-hydroxyethylene diamine,T-DET EA-1A,PERFORMANCE FIBERS OPERA
100000736,244404,"2,2',2'',2'''-Ethylenedinitrilotetraethanol ",Tetra-hydroxyethylene diamine,PERFORMANCE FIBERS OPERATIONS
100000763,197180,LOW QUALITY MOLASSES (CANE) RM,Melaza,ZEPPELIN MIELES Y DERIVA
100000763,197180,Molasses ,LOW QUALITY MOLASSES (CANE) RM,ZEPPELIN MIELES Y DERIVADOS
100000789,940949,Betolin Li 24 ,BETOLIN LI 24 260KG DRUM,"Nordmann, Rassmann"
100000798,274674,SILICA FLOUR < 100 MICRON ,SILICA FLOUR < 100 MICRON,POMZA EKSPORT
100000798,274674,SILICA FLOUR < 100 MICRON,SILICA FLOUR < 100 MICRON,POMZA EKSPORT
100000804,390180,"Starch, 2-hydroxyethyl ether ",AMITROLIT 8882 25KG BAG,OOO Orion produkt
100000804,390180,AMITROLIT 8882 25KG BAG,AMITROLIT 8882 25KG BAG,OOO Orion produkt
100000868,268949,Urcryl A-300 ,Ottopol 300,GELLNER INDUSTRIAL LLC
100000868,268949,Ottopol 300,URCRYL A-300- Totes,GELLNER INDUSTRIAL LLC
100000870,984800,Triethoxyoctylsilane ,BRB Silanil 294,BRB NORTH AMERICA INC
100000889,228984,"PBG METAMAX 11,34kg 5M1","PBG METAMAX 11,34kg 5M1",BASF Corporation
100000889,228984,METAMAX 25KG 5M1,METAMAX 25KG 5M1,BASF Corporation
100000889,228984,PBG METAMAX,METAMAX,BASF Corporation
100000889,228984,"METAMAX 907,185KG 13H4","METAMAX 907,185KG 13H4",BASF Corporation
100000925,212634,"Cellulose, 2-hydroxypropyl methyl ether ",MEILOSE GMC – 1164 25KG 5M2,Derin Kimya San. ve Tic A.S.
100000925,212634,MEILOSE GMC – 1164 25KG 5M2,MEILOSE GMC – 1164 25KG 5M2,Derin Kimya San. ve Tic
100001032,341074,RAW SAND 0.0 - 5,RAW SAND 0.0 - 5,MOLTRANS Transport & Log
100001032,341074,RAW SAND 0.0 - 5 ,RAW SAND 0.0 - 5,MOLTRANS Transport & Logistics
100001080,269173,VERMICULITE (EB),VERMICULITE (EB),VRIESLAND GROWERS CO OPE
100001080,269173,Vermiculite ,VERMICULITE (EB),VRIESLAND GROWERS CO OPERATIVE
100001329,51294,ORTHOPHENYLPHENOL,ORTHOPHENYLPHENOL,NUTRITION AND BIOSCIENCE
100001329,51294,biphenyl-2-ol ,ORTHOPHENYLPHENOL,NUTRITION AND BIOSCIENCES USA 1 LLC
100001394,132836,KATHON LX 1.5%,KATHON LX 1.5%,NUTRITION AND BIOSCIENCE
100001394,132836,Kathon LX 1.5% Biocide ,KATHON LX 1.5%,NUTRITION AND BIOSCIENCES USA 2 LLC
100001426,903130,Portland Cement Skin.Corr.1 only NA ,CalPort Cement Type III,CALPORTLAND COMPANY
100001453,24097,Sucrose ,SUGAR 25KG 5H4,ASTANASERVISPRODUKT TOO
100001453,24097,SUGAR 25KG 5H4,SUGAR 25KG 5H4,ASTANASERVISPRODUKT TOO
100001533,450737,Arnox 4LV ,ARNOX 4LV,ARNETTE POLYMERS LLC
100001578,998081,"KAR H?DROL?K K?REÇ NHL 3,5 ",KAR H?DROL?K K?REÇ,KARADENIZ MADENCILIK SAN. VE
100001729,892965,"Humic acids, potassium salts, polymers with acrylamide, 2-methyl-2-[(1-oxo-2-propenyl)amino]-1-propanesulfonic acid, 4-(1-oxo-2-prop","HALAD 567 22,68KG 5M1",FRITZ INDUSTRIES INC
100001819,237663,reaction product: bisphenol-A-(epichlorhydrin) epoxy resin (NAM;BI),YD-127 240KG DRUM,"OOO ""Nortex"""
100001819,237663,YD-127 240KG DRUM,YD-127 240KG DRUM,OOO Nortex
100001819,238645,"Castor-Oil Based Polylol, branched ",Setathane 1145,"OOO ""Nortex"""
100001819,238645,Setathane 1145,Setathane 1145,OOO Nortex
100001915,302229,Calcium Nitrate Solution 35-60% ,CALCIUM NITRATE SOLUTION NEUTRAL,FERTIBERIA S A
100001915,302229,CALCIUM NITRATE SOLUTION NEUTRAL,SOLUCIÓN DE NITRATO CALCICO NEUTRO,FERTIBERIA S A
100001967,1004266,Wanol F2140P ,WANOL F2140P,SBC KIMYA SANAYI VE TIC A.S.
100002241,18577,FoamStar PB 2706 110KG 1H2,FoamStar PB 2706 110KG 1H2,"BELLAC INDUSTRY CO., LIM"
100002241,18577,ETINGAL L ,FoamStar PB 2706 110KG 1H2,"BELLAC INDUSTRY CO., LIMITED"
100002241,20719,TRIBUTYL PHOSPHATE ANTIFOAM T,TRIBUTYL PHOSPHATE ANTIFOAM T,"BELLAC INDUSTRY CO., LIM"
100002241,20719,Tributyl phosphate ,TRIBUTYL PHOSPHATE ANTIFOAM T,"BELLAC INDUSTRY CO., LIMITED"
100002241,58886,BISPHENOL A (EB) 220KG 1A1,BISPHENOL A (EB) 220KG 1A1,"BELLAC INDUSTRY CO., LIM"
100002241,58886,"4,4'-Isopropylidendiphenol, oligomeric reaction products with 1-chloro-2,3-epoxypropane ",BISPHENOL A (EB) 220KG 1A1,"BELLAC INDUSTRY CO., LIMITED"
100002245,296566,RX072406 Efka FL 3740,RX072406 Efka FL 3740,OOO Khimicheskaya Kompan
100002245,296566,Efka FL 3740 ,RX072406 Efka FL 3740,OOO Khimicheskaya Kompaniya LIK
100002245,493113,Efka-K-272 ,RX073355 SI 2008,OOO Khimicheskaya Kompaniya LIK
100002395,269639,"Cement, portland, chemicals ","CEM I 42,5 R.",OYAK Cimento Fabrikalari Anonim Sir
100002395,269639,"CEM I 42,5 R.","CEM I 42,5 R.",OYAK Cimento Fabrikalari
100002395,274486,Portland Cement ,"PORTLAND CEMENT 42,5",OYAK Cimento Fabrikalari Anonim Sir
100002395,274486,"PORTLAND CEMENT 42,5","Ç?MENTO PÇ 42,5",OYAK Cimento Fabrikalari
100002395,274496,Sulphate Resistant cement (SRC) (NAM;BI),SULFATE RESISTANT CEMENT(SRC)1500KG 13H1,OYAK Cimento Fabrikalari Anonim Sir
100002395,274496,SULFATE RESISTANT CEMENT(SRC)1500KG 13H1,SULFATE RESISTANT CEMENT(SRC)1500KG 13H1,OYAK Cimento Fabrikalari
100002395,274667,GRINDED BLAST FURNACE SLAG ,GRINDED BLAST FURNACE SLAG 25KG 5M1,OYAK Cimento Fabrikalari Anonim Sir
100002395,274667,GRINDED BLAST FURNACE SLAG 25KG 5M1,GRINDED BLAST FURNACE SLAG 25KG 5M1,OYAK Cimento Fabrikalari
100002395,274667,GRINDED BLAST FURNACE SLAG ,GRINDED BLAST FURNACE SLAG,OYAK Cimento Fabrikalari Anonim Sir
100002395,274667,GRINDED BLAST FURNACE SLAG,GRINDED BLAST FURNACE SLAG,OYAK Cimento Fabrikalari
100002395,1002609,Crushed Limestone ,Crushed Limestone,OYAK Cimento Fabrikalari Anonim Sir
100002487,876691,CRUDE GLYCEROL ,GLYCERINE GLC80,Keychem Elektrik Kimya Sanayi ve Ti
100002504,259032,millisil 1000KG 13H1,Quarz 180k (180 micron),MIKROM MADEN SAN VE TI
100002504,259032,Quartz (SiO2) (NAM;BI),millisil 1000KG 13H1,MIKROMAN MADEN SAN VE TIC A.S.
100002723,827047,Talc (Mg3H2(SiO3)4) (NAM;BI),TALK,MIKRON-S MIKRONIZE ENDUSTRI VE TIC.
100002924,269124,ROOFING GRANULES - 5100L,ROOFING GRANULES - 5100L,SCHABEL POLYMER TECHNOLO
100002924,269124,3M Brand Roofing Granules ,ROOFING GRANULES - 5100L,SCHABEL POLYMER TECHNOLOGY LLC
100003038,250285,WHITE CEMENT,WHITE CEMENT,Sinai For White Cement P
100003038,250285,WHITE CEMENT ,WHITE CEMENT,Sinai For White Cement Portland
100003043,264377,1-Phenoxypropan-2-ol ,DILUYENTE PU/FENOXIPROPANOL 200KG 5M1,TODECA
100003043,264377,DILUYENTE PU/FENOXIPROPANOL 200KG 5M1,DILUYENTE PU/FENOXIPROPANOL 200KG 5M1,TODECA
100004351,132836,KATHON LX 1.5%,KATHON LX 1.5%,AZELIS CA INC
100004351,132836,Kathon LX 1.5% Biocide ,KATHON LX 1.5%,AZELIS CANADA INC
100004773,24097,Sucrose ,CANE SUGAR,BALAJI SALES
100004773,24097,CANE SUGAR,CANE SUGAR,BALAJI SALES
100004773,26435,Sodium hydroxide solution 45% - 60% ,CAUSTIC SODA 48%,BALAJI SALES
100004773,26435,CAUSTIC SODA 48%,CAUSTIC SODA 48%,BALAJI SALES
100004777,17646,BENZYL ALCOHOL. 216KG 1A1,BENZYL ALCOHOL. 216KG 1A1,TAKA KUMAS TEKSTIL KIM S
100004777,17646,Benzyl alcohol ,BENZYL ALCOHOL. 216KG 1A1,TAKA KUMAS TEKSTIL KIM SAN VE
100004777,17646,Benzyl alcohol ,BENZYL_ALCOHOL 1000KG 31HA1,TAKA KUMAS TEKSTIL KIM SAN VE
100004777,32119,Copolymer of vinyl acetate and vinyl versatate ,ELOTEX HD1500 20KG 5M2,TAKA KUMAS TEKSTIL KIM SAN VE
100004777,263203,RESIFLOW FL-2 25KG 1A1,RESIFLOW FL-2 25KG 1A1,TAKA KUMAS TEKSTIL KIM S
100004777,263203,Resiflow FL 2 ,RESIFLOW FL-2 25KG 1A1,TAKA KUMAS TEKSTIL KIM SAN VE
100004777,274523,"Poly[imino(1,6-dioxo-1,6-hexanediyl)imino-1,6-hexanediyl] (NAM;BI)",RHOXIMAT NYL 6,TAKA KUMAS TEKSTIL KIM SAN VE
100004777,274675,POLIRIN AGE,ARD 13,TAKA KUMAS TEKSTIL KIM S
100004777,274675,"Oxirane, mono[(C12-14-alkyloxy)methyl] derivs. (NAM;BI)",POLIRIN AGE,TAKA KUMAS TEKSTIL KIM SAN VE
100004777,941935,TIONES 6300E ,TIONES 6300 E 20KG 5M2,TAKA KUMAS TEKSTIL KIM SAN VE
100005204,14701,Diethanolamine pure ,Diethanolamine pure,AL RAMA INTERNATIONAL
100005204,14701,Diethanolamine pure,Diethanolamine pure,AL RAMA INTERNATIONAL
